Timestamp,Token,Symbol,Action,Price,Quantity,SL,TP,PNL,Reason,DailyPNL
2025-05-29 15:03:25,87326,HDFCBANK29MAY251920PE,BUY,0.25,550,5.25,-9.76,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),-3320.00
2025-05-29 15:03:27,87326,HDFCBANK29MAY251920PE,SELL,0.05,550,N/A,N/A,110.00,Support Hit (PE),-3210.00
2025-05-29 15:03:36,87326,HDFCBANK29MAY251920PE,BUY,0.15,550,5.15,-9.86,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),-3210.00
2025-05-29 15:03:44,87326,HDFCBANK29MAY251920PE,SELL,0.05,550,N/A,N/A,55.00,Support Hit (PE),-3155.00
2025-05-29 15:03:46,90477,ICICIBANK29MAY251460PE,BUY,3.50,700,6.26,-2.03,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),-3155.00
2025-05-29 15:03:56,87326,HDFCBANK29MAY251920PE,BUY,0.20,550,5.20,-9.81,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),-3155.00
2025-05-29 15:03:59,87326,HDFCBANK29MAY251920PE,SELL,0.05,550,N/A,N/A,82.50,Support Hit (PE),-3072.50
2025-05-29 15:04:03,87326,HDFCBANK29MAY251920PE,BUY,0.10,550,5.10,-9.91,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),-3072.50
2025-05-29 15:04:22,87326,HDFCBANK29MAY251920PE,SELL,0.05,550,N/A,N/A,27.50,Support Hit (PE),-3045.00
2025-05-29 15:04:39,87326,HDFCBANK29MAY251920PE,BUY,0.10,550,5.10,-9.91,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),-3045.00
2025-05-29 15:04:40,87326,HDFCBANK29MAY251920PE,SELL,0.05,550,N/A,N/A,27.50,Support Hit (PE),-3017.50
2025-05-29 15:04:45,87326,HDFCBANK29MAY251920PE,BUY,0.10,550,5.10,-9.91,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),-3017.50
2025-05-29 15:04:47,87326,HDFCBANK29MAY251920PE,SELL,0.05,550,N/A,N/A,27.50,Support Hit (PE),-2990.00
2025-05-29 15:05:17,87326,HDFCBANK29MAY251920PE,BUY,0.10,550,5.10,-9.91,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),-2990.00
2025-05-29 15:05:18,87326,HDFCBANK29MAY251920PE,SELL,0.05,550,N/A,N/A,27.50,Support Hit (PE),-2962.50
2025-05-29 15:06:00,58570,BANKNIFTY29MAY2555500PE,SELL,68.30,30,N/A,N/A,4225.50,Support Hit (PE),1263.00
2025-05-29 15:07:23,58570,BANKNIFTY29MAY2555500PE,BUY,71.40,30,169.38,-124.56,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),1263.00
2025-05-29 15:07:24,58570,BANKNIFTY29MAY2555500PE,SELL,65.40,30,N/A,N/A,180.00,Support Hit (PE),1443.00
2025-05-29 15:07:34,58570,BANKNIFTY29MAY2555500PE,BUY,72.30,30,170.28,-123.66,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),1443.00
2025-05-29 15:07:35,58570,BANKNIFTY29MAY2555500PE,SELL,69.60,30,N/A,N/A,81.00,Support Hit (PE),1524.00
2025-05-29 15:07:36,90477,ICICIBANK29MAY251460PE,SELL,0.55,700,N/A,N/A,2065.00,Support Hit (PE),3589.00
2025-05-29 15:07:52,90477,ICICIBANK29MAY251460PE,BUY,0.90,700,3.66,-4.63,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),3589.00
2025-05-29 15:11:27,58572,BANKNIFTY29MAY2555600PE,SELL,103.65,30,N/A,N/A,5923.50,Support Hit (PE),9512.50
2025-05-29 15:11:55,87326,HDFCBANK29MAY251920PE,BUY,0.20,550,5.20,-9.81,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),9512.50
2025-05-29 15:12:38,90477,ICICIBANK29MAY251460PE,SELL,0.50,700,N/A,N/A,280.00,Support Hit (PE),9792.50
2025-05-29 15:14:34,87326,HDFCBANK29MAY251920PE,SELL,0.05,550,N/A,N/A,82.50,Support Hit (PE),9875.00
2025-05-29 15:14:55,87326,HDFCBANK29MAY251920PE,BUY,0.30,550,5.30,-9.71,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),9875.00
2025-05-29 15:15:12,61756,NIFTY29MAY2525000PE,BUY,168.20,75,229.03,46.55,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),9875.00
2025-05-29 15:15:12,58570,BANKNIFTY29MAY2555500PE,BUY,4.25,30,117.93,-223.11,N/A,BB_RSI_PE (OI:NEUTRAL, ML:NEUTRAL),9875.00
